MEDI_GRADE,MEDI_LIMIT_S,MEDI_LIMIT_E,MEDI_AVG_PAY,MEDI_BO
1,0,75000,70000,1400
10,155000,165000,160000,3200
100,6550000,6650000,6600000,132000
101,6650000,6750000,6700000,134000
102,6750000,6850000,6800000,136000
103,6850000,6950000,6900000,138000
104,6950000,7050000,7000000,140000
105,7050000,7150000,7100000,142000
106,7150000,7250000,7200000,144000
107,7250000,7350000,7300000,146000
108,7350000,7450000,7400000,148000
109,7450000,7550000,7500000,150000
11,165000,175000,170000,3400
110,7550000,7650000,7600000,152000
111,7650000,7750000,7700000,154000
112,7750000,7850000,7800000,156000
113,7850000,7950000,7900000,158000
114,7950000,8050000,8000000,160000
115,8050000,8150000,8100000,162000
116,8150000,8250000,8200000,164000
117,8250000,8350000,8300000,166000
118,8350000,8450000,8400000,168000
119,8450000,8550000,8500000,170000
12,175000,185000,180000,3600
120,8550000,8650000,8600000,172000
121,8650000,8750000,8700000,174000
122,8750000,8850000,8800000,176000
123,8850000,8950000,8900000,178000
124,8950000,9050000,9000000,180000
125,9050000,9150000,9100000,182000
126,9150000,9250000,9200000,184000
127,9250000,9350000,9300000,186000
128,9350000,9450000,9400000,188000
129,9450000,9550000,9500000,190000
13,185000,195000,190000,3800
130,9550000,9650000,9600000,192000
131,9650000,9750000,9700000,194000
132,9750000,9850000,9800000,196000
133,9850000,9950000,9900000,198000
134,9950000,10050000,10000000,200000
135,10050000,10150000,10100000,202000
136,10150000,10250000,10200000,204000
137,10250000,10350000,10300000,206000
138,10350000,10450000,10400000,208000
139,10450000,10550000,10500000,210000
14,195000,205000,200000,4000
140,10550000,10650000,10600000,212000
141,10650000,10750000,10700000,214000
142,10750000,10850000,10800000,216000
143,10850000,10950000,10900000,218000
144,10950000,11050000,11000000,220000
145,11050000,11150000,11100000,222000
146,11150000,11250000,11200000,224000
147,11250000,11350000,11300000,226000
148,11350000,11450000,11400000,228000
149,11450000,11550000,11500000,230000
15,205000,215000,210000,4200
150,11550000,11650000,11600000,232000
151,11650000,11750000,11700000,234000
152,11750000,11850000,11800000,236000
153,11850000,11950000,11900000,238000
154,11950000,12050000,12000000,240000
155,12050000,12150000,12100000,242000
156,12150000,12250000,12200000,244000
157,12250000,12350000,12300000,246000
158,12350000,12450000,12400000,248000
159,12450000,12550000,12500000,250000
16,215000,225000,220000,4400
160,12550000,12650000,12600000,252000
161,12650000,12750000,12700000,254000
162,12750000,12850000,12800000,256000
163,12850000,12950000,12900000,258000
164,12950000,13050000,13000000,260000
165,13050000,13150000,13100000,262000
166,13150000,13250000,13200000,264000
167,13250000,13350000,13300000,266000
168,13350000,13450000,13400000,268000
169,13450000,13550000,13500000,270000
17,225000,235000,230000,4600
170,13550000,13650000,13600000,272000
171,13650000,13750000,13700000,274000
172,13750000,13850000,13800000,276000
173,13850000,13950000,13900000,278000
174,13950000,14050000,14000000,280000
175,14050000,14150000,14100000,282000
176,14150000,14250000,14200000,284000
177,14250000,14350000,14300000,286000
178,14350000,14450000,14400000,288000
179,14450000,14550000,14500000,290000
18,235000,245000,240000,4800
180,14550000,14650000,14600000,292000
181,14650000,14750000,14700000,294000
182,14750000,14850000,14800000,296000
183,14850000,14950000,14900000,298000
184,14950000,15050000,15000000,300000
185,15050000,15150000,15100000,302000
186,15150000,15250000,15200000,304000
187,15250000,15350000,15300000,306000
188,15350000,15450000,15400000,308000
189,15450000,15550000,15500000,310000
19,245000,260000,250000,5000
190,15550000,15650000,15600000,312000
191,15650000,15750000,15700000,314000
192,15750000,15850000,15800000,316000
193,15850000,15950000,15900000,318000
194,15950000,16050000,16000000,320000
195,16050000,16150000,16100000,322000
196,16150000,16250000,16200000,324000
197,16250000,16350000,16300000,326000
198,16350000,16450000,16400000,328000
199,16450000,16550000,16500000,330000
2,75000,85000,80000,1600
20,260000,280000,270000,5400
200,16550000,16650000,16600000,332000
201,16650000,16750000,16700000,334000
